iter	Passed	Remaining
846	2640	476
847	2643	473
848	2646	470
849	2649	467
850	2652	464
851	2655	461
852	2658	458
853	2661	454
854	2664	451
855	2667	448
856	2670	445
857	2673	442
858	2676	439
859	2679	436
860	2682	433
861	2685	429
862	2688	426
863	2691	423
864	2694	420
865	2697	417
866	2700	414
867	2703	411
868	2706	408
869	2709	404
870	2712	401
871	2716	398
872	2719	395
873	2722	392
874	2725	389
875	2727	386
876	2731	383
877	2734	379
878	2736	376
879	2740	373
880	2744	370
881	2748	367
882	2751	364
883	2753	361
884	2756	358
885	2759	355
886	2762	351
887	2765	348
888	2768	345
889	2771	342
890	2774	339
891	2777	336
892	2780	333
893	2783	330
894	2786	326
895	2789	323
896	2792	320
897	2795	317
898	2798	314
899	2802	311
900	2805	308
901	2808	305
902	2810	301
903	2813	298
904	2816	295
905	2819	292
906	2822	289
907	2825	286
908	2828	283
909	2831	280
910	2834	276
911	2837	273
912	2840	270
913	2842	267
914	2846	264
915	2849	261
916	2851	258
917	2854	255
918	2857	251
919	2860	248
920	2863	245
921	2866	242
922	2869	239
923	2872	236
924	2875	233
925	2878	230
926	2881	226
927	2884	223
928	2887	220
929	2890	217
930	2893	214
931	2896	211
932	2899	208
933	2902	205
934	2905	201
935	2907	198
936	2910	195
937	2913	192
938	2917	189
939	2919	186
940	2922	183
941	2925	180
942	2928	177
943	2931	173
944	2934	170
945	2937	167
946	2940	164
947	2943	161
948	2946	158
949	2949	155
950	2952	152
951	2955	148
952	2958	145
953	2961	142
954	2964	139
955	2966	136
956	2969	133
957	2972	130
958	2975	127
959	2978	124
960	2981	121
961	2984	117
962	2987	114
963	2990	111
964	2993	108
965	2996	105
966	2999	102
967	3002	99
968	3005	96
969	3008	93
970	3011	89
971	3013	86
972	3017	83
973	3020	80
974	3023	77
975	3026	74
976	3029	71
977	3032	68
978	3035	65
979	3039	62
980	3042	58
981	3044	55
982	3047	52
983	3050	49
984	3053	46
985	3056	43
986	3059	40
987	3062	37
988	3065	34
989	3068	30
990	3071	27
991	3074	24
992	3077	21
993	3080	18
994	3083	15
995	3086	12
996	3089	9
997	3092	6
998	3095	3
999	3097	0
